CPU Low (ns)	CPU Medium (ns)	CPU High (ns)	CPU Medium & Memory Intensity (ns)	CPU High & Memory Intensity (ns)
9088496	9986398	10251034	8535823	9126511
9910617	9083222	9939143	9395974	9953826
54084671	10535139	9006832	9988238	8971273
8033916	8483608	12138110	8036402	9956828
10999316	10995576	6918170	10029123	10114771
8934496	10093507	10598377	9031962	8854346
10114135	8954243	9349740	8890942	11094004
9864430	9013478	10042247	10063195	7980191
9052285	11882321	9590945	8943101	10573646
9741051	8510945	9424408	9011474	10563846
10197072	8897730	9912624	10011300	8832986
10006965	11114469	10077214	9997149	9981191
8993152	8533701	9225729	9955109	10135222
8968706	12048462	9732292	8653435	9827701
11158908	7953507	9724179	9518338	9151887
6803014	10448301	10297893	10451312	9792307
11137659	9083026	8088245	9451297	10029662
8961306	9715076	10936895	9947299	9118093
9987886	10771458	8024205	3058035	10875304
7739336	8440441	9949247	5043780	8997075
10259426	9912570	8863399	9906641	9129761
8942661	10594425	8190190	8451011	11000623
11033347	8166096	11637748	10517869	8975262
8072839	12204178	8423473	9095355	10884969
11036433	7717370	8926496	22500125	8124469
8896932	10912460	9941718	6473806	12134718
9729424	8898970	9020225	9973309	8014361
8422717	7877350	10584646	9056435	9874251
9654382	14305095	9422975	9477241	9901870
11144352	5281372	10046256	9593785	9035668
7070201	11985218	9636869	8878674	10911265
12070729	8726215	9986689	10015349	9135968
7710325	9993312	8273042	8048822	9032950
11259442	9411504	11031315	11521546	8937899
8909058	10760856	9014387	9520965	11034612
10034142	9148340	9998249	8847985	8013918
10061555	9714136	9017898	9610931	10117045
6854762	9980982	10681591	9456672	8886148
14120066	9290824	7328180	9946072	10018352
7023235	10702816	11758008	10028610	9225225
10988086	8847267	6879123	8970994	9856588
8991891	9467107	10369651	10022175	7839279
8862328	9702907	8970634	9956821	10058453
11153962	10924016	8824849	10038656	9938250
8976371	8314108	9755645	8573433	8055051
9987735	9868905	8399115	9384596	10883235
7966843	11184087	10676863	10080069	8996430
11790922	8986253	8951480	9610666	7981970
7216235	9186829	9022901	9004014	10089589
10057546	9427594	9392105	9385989	8907242
7953745	10037073	10033154	10081502	9245404
9680688	9421191	9965313	9958521	11857663
10293781	10937906	8060262	7945220	5924204
7990222	7648774	9629103	11086227	11139956
9979511	12341918	10318963	7966566	8969748
10009105	8005572	8733125	7946022	9949062
9048834	10618299	7856249	9963017	8936009
9945098	9039748	10104959	9000162	9065486
