CPU Low (ns)	CPU Medium (ns)	CPU High (ns)	CPU Medium & Memory Intensity (ns)	CPU High & Memory Intensity (ns)
285792	10310983	9249216	1417224	9966823
375323	9724182	9844083	387018	8242072
204395	10014594	9839747	106055	10179545
429826	8937688	9080886	587328	10606589
208421	11071667	8989367	349159	9061183
258549	8246677	9921040	79438	7868909
312994	10678934	8332190	616558	11035548
127232	8983368	9897531	1121937	9010181
235977	9878574	9777615	234690	9970605
218253	8071534	8090822	775013	9013352
195127	10191023	10904528	365591	10135368
221611	9700420	9047867	691045	9910719
318580	12039426	9986237	131035	9077199
249908	6968178	8234005	2007147	9964368
188659	10121606	9769693	11609167	9977220
242914	9869611	9928110	527098	8887095
299924	10054266	8944583	461269	9002337
200693	9031076	10004202	96562	10077609
160434	9018693	10125429	431401	8900049
161061	9920259	10861876	1401415	9026728
465481	9994313	8172593	12011709	10045317
144157	7958175	8822170	126417	8968734
215176	9988561	10034461	760074	9015203
258521	9505594	9014077	4603286	9975660
393842	8760507	9381983	518791	10041406
190845	9784024	9570552	400846	8245946
186911	9008184	10085804	642356	9815387
234487	10026105	8947743	4925092	9790701
159777	9892411	9032210	11358410	8139922
333342	9066601	10959632	8645798	10935178
236732	9976170	8006953	9285289	8951000
371350	10013417	10018405	2993351	10982611
334098	9003186	9042798	3826190	8158530
238524	11052330	291686	420153	10927332
254014	8894651	7697839	62750	8084067
165335	9421545	10968844	8409166	10924419
219667	10724496	7357957	1059241	7854587
277746	8825074	11849011	618611	9964715
