CPU Low (ns),CPU Medium (ns),CPU High (ns),CPU Medium & Memory Intensity (ns),CPU High & Memory Intensity (ns)
10948983,122160,12946162,10012226,12083626
153627,121471,8201988,9049869,7998060
8987777,117228,9800532,7124215,10925912
8850505,287811,9164818,13806096,9076548
10131072,38737,9938373,7019437,8847307
9995102,109329,9990930,11092529,11324546
9852445,106468,7844397,7891875,8683627
10148888,107293,11082568,8477286,10137205
8915533,108289,9096257,26559625,9865055
8882917,108689,7899983,2026525,9060370
11157773,122076,12024180,12933680,9046697
8994027,135788,7949045,6528119,9824775
10837570,138910,9903634,9786757,9166154
8072375,105324,10029822,9638431,10956802
10977127,106176,9001438,9010194,8874468
9215862,106553,10083122,10058433,9364458
9748131,107916,8990404,8957586,9698496
8985355,111330,9912357,9295039,9915976
11016919,116184,10073603,9830111,9044698
8921429,103907,9896348,7870112,9975918
11152127,124226,8027558,9975874,8181296
7893337,120569,11099294,8999023,11015332
9938705,105309,9859439,9120258,816451
10991477,106711,9010196,10033336,704205
8259232,106894,11048596,9136788,2210347
10899540,109262,8996339,9096404,11997529
9899722,145578,8807983,9588987,10020610
9097369,138195,9188970,9097145,8047128
9937995,159485,10041514,10926042,10925068
8903279,127981,8791393,8970731,8104201
11171820,128706,10112968,10039126,8943003
7806207,129716,8857715,9016347,11022090
11912529,130300,11326100,10360471,8040525
8130724,131864,8831419,9576428,8926768
10984992,133534,9003920,10003916,10054394
7953302,138863,11058057,9000268,8914277
10994780,349464,8719153,9389729,9041644
8028143,115877,9047527,9609809,8959996
10009180,43147,11122837,10030726,10095576
10022154,109751,10121134,9110530,8856622
8000872,109324,7843065,9892974,9106909
10907338,110051,10120864,8965666,9181990
8872695,342767,10784752,9310860,9741649
10099655,113061,10029687,9026133,9000386
10055731,129523,9059166,9604247,8924007
9861969,130297,9900693,10074780,9086291
8315885,131967,8934742,8891303,9958639
11712447,109651,11126190,9347610,7932627
8997264,216317,8912430,9783954,10064764
10155300,103145,10002325,8942079,2615283
8824955,105804,8952500,9010690,671816
9875912,106162,11009916,10046161,1967663
10093468,107120,8105466,8408295,11777214
10095314,110980,10855275,9538875,8052058
9087060,109040,9148178,10256210,9917313
922802,111500,10845485,9064810,10076728
632800,115668,7923496,10626435,9861720
3442421,125004,12159036,7996488,9523586
14725789,122967,7965811,10054749,7461290
7988139,105650,10978285,8246253,2122319
9022945,106537,8990838,10226929,5893869
9901783,107452,8994547,9445021,9502020
10396527,117467,11093219,9401963,12598996
201812,112614,8838752,8897727,5989068
796075,109825,11127661,9713279,9915498
3685907,247866,7974770,9990223,10110544
14004338,104211,11902749,9077376,7864066
6910442,105568,7886525,178376,11031333
11109656,106528,10184719,6822058,7919696
9950607,114170,10027509,13126466,9105023
8167315,109787,9989042,7851662,9980583
10771051,110428,8846859,11026898,8934905
10115981,111501,9972117,7889179,9970075
8949476,136366,9016480,11058845,8304262
10899500,71710,11958811,11132957,9696162
7982561,105229,7099300,9051141,10090329
13173801,113600,10905866,9904395,7863350
5760039,106830,10150454,9145093,10073869
12261622,108854,9843976,9821489,9884843
