CPU Low Jitter (ns)	CPU Medium Jitter (ns)	CPU High Jitter (ns)	CPU Medium & Memory Intensity(ns)	CPU High & Memory Intensity(ns)
2974938	207344	919040	8822713	922058
998004	203175	1725283	10035589	178991
5103145	241826	184010	10998057	261654
86788	147914	208164	8996371	3468670
1844504	244169	713412	8123122	12990556
3035792	211095	3960435	11925559	8293960
2875293	220742	1035583	8883210	10001450
104129	185521	10058802	9083014	10909714
1101108	213225	6267225	10898026	9929073
1876641	201973	3660936	9432309	7873317
127006	221862	14035711	9562455	9914191
5794293	257065	6066361	8946724	11109565
150941	207490	11806140	10074788	1929206
97368	204061	8093036	9913144	5030768
9754740	204671	10835493	8005374	9973589
9972409	229750	9004180	10238657	10021020
9036419	177636	10078518	8923252	8977554
9953579	259036	10001908	8903936	11362364
9043950	204366	8972932	10986142	8578382
129627	224719	10986921	8030623	9338867
6928303	321679	8897289	9919927	10696645
13024173	264815	10124734	9041243	10071088
7926239	228336	8866183	10036006	8269366
10049543	257776	11131762	8841044	11687497
2999578	237503	7895719	9033763	8218838
3952830	221252	11130717	9945073	9748037
9942953	194296	8857621	7200173	10955848
5639631	227998	11120372	10859928	9040659
136324	311590	7839328	9102175	9960104
247795	292134	11011637	9094605	9151825
1044404	240148	8933774	9890988	10802522
974555	285798	9135379	8947938	8989450
554768	142930	10908383	8940222	10016561
285925	220419	8980918	10896179	9976577
3123397	165430	10094345	7153558	8114100
1989047	222228	10176786	11015687	11985148
56699	264533	9849336	8865886	7820042
1505896	317552	9920708	10016877	10298200
2656220	238686	9071644	7856319	11759053
273283	227189	10124871	10098105	8071401
103005	241203	9741060	8927941	9992857
351148	138039	10046478	8998531	8150895
3092054	215154	9009148	8040906	11844674
923373	188408	10097979	25991836	7871631
10431562	229529	8865407	83455	10020019
10778398	243010	9929391	339969	8113373
8835335	241268	10996726	2951324	114424
9319492	228473	8072832	724752	10093137
10705046	202411	11000447	749632	8026008
8903477	179474	8956533	2075187	9608937
10072940	243232	9893665	13058653	1366814
157131	295762	9997794	7022914	7761459
7829318	239121	9094564	9967479	7911001
11024924	228380	10127232	9978216	11114377
9000886	271755	11848381	9205762	8993456
9921117	224472	7970935	8811961	8929761
10042495	207168	9020110	10025315	12010032
8955663	159536	10955044	7983368	7062863
10561722	247617	9115323	10921542	10795429
9639640	351734	10006575	7978402	9061999
9937964	257977	8835647	9924969	9894523
9051095	140120	10097599	10042224	11058763
11986727	304517	8993216	8033870	7963666
6775190	177798	9990475	10009847	11073951
10043491	163261	8114831	9095973	9186925
8975070	173043	27913551	9116768	9765953
10088147	230805	1937975	9722367	10132175
8951136	275193	11958826	8887484	8926260
9010917	331477	9017636	10200097	10061869
8899041	253752	11060395	6886312	8988442
10070712	534885	7937523	12997940	8890680
8991093	225036	10000193	6996416	11054663
10042181	216531	10002130	9948082	8286983
8902627	260594	10014674	10650451	10579149
8029603	177276	8965297	7338912	9050399
10014038	449936	10026071	318499	10924522
9112618	173776	10022379	8731669	9073443
10824046	367231	7919057	8969901	9975239
7022657	298050	356812	8899635	9004247
10974997	225122	5632338	10105702	10981641
10025888	243880	232092	8850951	9114376
9036655	208271	702680	10034197	9935791
9942012	247260	1313245	10120527	10229318
9018640	863638	4819225	9876077	8709010
9003646	118067	929621	9044953	11002397
8959922	207631	385840	11024951	7990010
11027908	187953	6517818	7817809	10980273
8975356	216319	10281202	12113415	9127154
9067395	223653	768459	7974698	9814812
8946938	231084	8016605	9952489	5132988
9988431	303570	1912767	10313923	1909809
10009570	214387	88883	9790786	11980378
8036142	290849	5010962	9925977	9993650
10155554	269686	1913056	8951674	9027645
8824931	234729	6032010	9131843	10138698
9943461	170633	11048351	10848791	9830207
8004404	274444	8235375	8216551	9082382
9966144	230838	10669140	10944357	9870804
9465946	308760	7966740	7932752	2108649
616703	155121	9392861	8884203	4844593
6905293	235325	9609643	10027331	13081878
10073654	244484	9012417	9038503	8003269
9006916	250000	10033603	9848931	9883949
8980657	247567	7944216	8155678	9055111
10008744	221668	10071519	11022192	9959269
9024502	218645	9953335	7835379	11019774
8939486	235360	8077822	10095498	8078751
9137122	262034	9963434	7920236	10182464
9858356	110377	110441	12106999	9683838
9014899	235746	6847998	5887102	10210603
8972984	204143	10956807	11957909	9925032
9995765	204782	8208433	8145328	8962519
9055364	249046	9820716	8793680	10932000
9932123	309197	9042025	8981101	7977101
10020112	274581	9942774	9985485	1942979
9399940	165096	8030947	9077902	8056290
10748621	252575	10934596	8873866	9273391
8048753	213357	8034394	10175242	10700063
11761583	216376	10071334	8804214	7132416
9021124	202882	8975700	10017591	27917957
8960193	171016	9427161	9195475	1891517
10021008	230683	9551650	10019398	12142341
9061876	283856	9163521	8693235	7873367
9896859	254686	9843935	9128069	10015382
8058030	200583	8443821	9014305	9049041
10401994	362540	9505109	9957646	10013671
9527288	212588	10025036	9314751	8969876
7999711	207785	8015745	9836342	5019355
11131674	173911	10957447	8837108	1026175
8072444	274387	8422030	10077756	11872159
10860690	289811	9533119	8930317	150318
9208077	224082	8996632	6199616	6141518
8842729	223372	10050536	14848697	232210
10046911	394991	9956125	6996462	233814
9830789	210923	10045971	9839165	10275014
9255252	202552	8982598	10133701	199772
10027786	204594	9959171	11012131	6667535
9777087	156917	10062286	8882622	121961
10042128	142206	9002047	9162782	11942290
8969887	214997	10405581	9943350	1056213
10953125	211845	9623919	10169945	5974390
8131939	274861	8963179	9740152	1050205
22901947	109268	9968710	9160943	7135718
5899978	261452	9031640	8800523	10755335
10022491	193232	9093921	10122177	9152093
9355308	211264	10840058	9050906	10127824
8983474	213224	8088898	10868639	9642676
10644927	173473	10008908	9901846	173151
9010502	213043	8980640	594021	8121720
9032329	235590	9190530	5511214	10759552
12165694	210046	9725404	13875128	8977145
6849914	242653	8997584	6039423	10054225
9265281	255261	9005612	12013475	8922855
10768513	211745	10014111	7940446	8956039
8003519	238781	8997444	9911145	10131268
9926279	263461	8989230	9127325	8292784
8088708	161771	9955812	8977439	11746555
11902885	297222	8147397	9859756	8092066
7082734	217041	10367961	9293671	9813623
10985834	191002	8659224	9067794	10030626
8928848	130135	10907772	8699548	8055051
9991115	153832	8117496	10051048	9968417
10057860	205164	10922572	9948890	9227437
9001954	241142	6997086	8054246	8715736
10215947	216330	10000384	9949452	9949828
9817207	342613	10013862	7933500	9079306
10013452	208760	9266508	9905439	9895574
8910318	205494	8023743	9110732	10011978
9959665	174910	9772234	9992509	10280787
9185578	248401	9910066	9019964	8937559
9768082	261103	7412570	8978601	10743158
11039733	217801	12588638	9011463	9025605
7967875	212819	6937857	9936844	10044587
11003027	336002	9967058	7930019	9299042
8958358	290781	7978214	11082402	10629301
10006156	203780	10392636	7944632	7990228
9043733	212667	9671864	10939497	12120132
9902591	105465	7958363	8079908	6848433
10139001	160251	10056094	8958629	12118339
9887243	235279	8995360	10071621	7994401
11048859	106427	9052241	8956188	9041612
6901044	272761	9929086	10026285	9228635
9038672	266318	10042336	8942251	8820541
11077949	360908	8870054	10110490	10902597
9033966	80272	8986300	7915536	7822277
8923089	222322	10011440	9182162	111998
9171675	273218	7970794	9961231	9290090
9718063	137832	10036963	8809083	9790288
8014778	260012	9088088	8375875	211820
11246414	276689	7869207	11636644	6644056
9837627	236254	11377368	7926561	12040176
800896	206112	8691741	10085088	8272079
5225580	162459	8968933	5956461	10734424
13933807	225798	9206551	11921659	8940689
7058609	252776	9782887	10069200	9969504
10249037	310606	8954186	8218651	9011847
10741683	140445	10063680	9763898	11093167
9003838	280056	9005344	8993905	9079898
10019736	261186	10066597	9219852	11107873
8928006	259634	8888980	938825	7782118
10023966	214546	7946883	1541213	10994009
8963698	197486	9991447	2681448	9012278
9020114	212866	9140146	13560570	9929123
11067839	223680	9873892	6997487	7134181
8902484	167829	8161727	9991301	12893894
10015639	151048	10002486	10062682	8894189
9057453	229901	8899555	9015748	10169168
9915114	203364	9923741	8890160	8870591
8950732	181799	8269254	9029955	9944915
10048289	288217	10723268	8974714	9105717
8249526	220961	8053095	9950268	9036374
9695904	242126	9935515	10116366	3874131
9001549	221246	8268169	7805288	141713
9996792	349759	10022198	10226077	1079860
8963152	211769	9710265	7932219	11701138
9440980	203399	7988065	10895722	9971846
9504087	158524	10495307	9152640	9078941
8428268	240584	8572684	9087549	11050658
9793371	150237	9373555	9764413	8948754
9291588	254490	9609066	7968160	9940971
9476003	205976	8939424	11023787	8371679
8982633	137524	8990228	8032775	11756380
9081916	261458	10027528	8996953	6898715
10036365	232504	8222226	11001148	9187339
8980433	172217	10009787	7973582	10334127
9952836	274309	8966461	9895991	22612141
7998714	548816	9855071	8213702	5010974
10025748	221140	8965221	10754880	11818624
10042335	201817	8963397	8075740	7004871
8899065	384436	9416170	9988950	11052924
8972789	187923	9674035	9193773	9947606
9386011	171873	8969426	8700141	9110280
9893155	164150	10024220	9037729	9887689
9727324	251727	9016075	9329700	10048261
9492934	345221	8887024	9656922	7969928
9517211	234783	9022948	9106546	9906559
10282103	239201	10038351	8823066	11083629
22765756	530216	9012433	6031805	9077834
5929298	231464	10062298	1000442	8935531
11019544	212765	7892650	12137217	924246
9012256	259708	9299429	7980331	387922
10020367	316963	9668054	9879790	4705453
9983564	236522	9055346	8952237	144807
9221289	240301	9073710	8132730	11788834
9802942	255971	9976131	13909777	9048534
8928605	693547	8349471	4096185	9986513
10102680	176745	9696440	10887950	242923
8101589	292825	9156668	8953260	5749435
11988022	107069	9673618	10019351	191182
6798683	123638	9068750	10046538	11676611
10058700	290866	8977571	8038619	190805
9279530	356215	9071247	9876984	5187820
8881567	247762	9877599	9188704	826283
11888480	258462	9057068	9738525	11774664
6930722	685114	9282170	8959772	7226679
9274435	111013	9058748	9135440	11795615
11715860	125342	9682512	8924495	8015381
8154736	228440	8954577	6232338	9169668
8780512	351850	1113178	13770708	9892437
9053277	221521	6900650	8036585	9903879
9007234	226096	9962237	9840897	8017909
10018617	298123	8965155	8123719	9962217
8993599	144412	9072107	9928165	9074545
9027709	212159	9382943	9068895	9035031
1134031	204001	9665803	8937648	3970459
2064701	246999	10009856	10062974	2961931
125757	352546	9923182	10060306	11094524
896181	226041	8132266	8034625	9912185
1256699	218911	9009592	9895186	8978091
195599	592655	11855582	9919729	10991836
8258751	219561	6039534	7959456	8031247
10044702	421633	11093791	9951576	10966508
8446467	121900	8848538	9117216	8907705
10519624	251601	8978335	9064890	10349554
8993328	256807	9040400	8904511	9808116
9033631	229754	9990368	9994386	9917054
11136532	317562	8244426	10040180	8992190
7873619	265910	9705269	9929544	8978559
11027934	228373	9982735	8265064	10991638
7209388	210573	8015517	9695277	8949433
763753	250295	2104826	9073736	10064847
911200	289824	4885599	8987673	9963281
136285	286731	12044490	8977607	8954661
394222	240257	7994962	11120313	10006160
1555544	322398	9981945	6785324	10048469
12081719	259213	8958043	10953237	8370817
9981590	222561	9071397	8008424	10559460
7150689	252078	10017669	9117858	10302297
9753743	120449	8980026	9990927	9743109
8931549	257013	9024968	8872506	10020216
9969167	292917	9863395	8966969	7876360
8066702	285674	7970940	10063322	11199206
12074765	167463	9065526	8150505	8797200
6972860	319831	9962705	9798785	10079921
9943802	226225	9025393	9053650	9946786
9052285	450639	9176949	11150642	9236050
10301107	195280	9174924	7768781	744144
9667144	241734	9559107	10122870	7974332
9920665	308236	9062086	10035189	10162173
7059658	349602	8991629	7846776	3797234
10452520	250708	10098230	10147834	3281932
9484327	297539	8995138	8907800	1356813
8137598	225091	11131178	10007220	312889
10027097	288277	7744071	7839050	5964978
771512	202858	9066672	10997636	13128357
6386408	173309	9169939	8157627	7984406
10700502	181456	10839271	9884569	9969417
8199653	287748	8998368	8891455	9955899
9927548	136571	9027019	9121133	10051378
9929033	193343	8932351	9944094	10004368
8938111	201379	961408	8919540	8952349
8998044	233854	616148	8947356	10023280
9003654	128884	3647274	9939163	9982631
9896821	225221	13794980	7972274	8937790
8132257	258179	5909966	10936586	10093581
10143213	234396	10967510	8240249	10009314
9013854	209935	8100226	9086631	9891292
9169279	364225	9337607	10818105	9009320
10612033	198491	9580475	7996686	10268526
7969128	229426	8934531	4160103	9798368
9340301	127116	9202438	2873663	8998126
9039674	136926	9800014	10843586	10941643
9629843	367473	8979039	9081361	9050911
9120246	151087	9188719	10037507	9206157
9780694	357131	9973698	8052245	10682510
8088067	319442	8925424	9937117	9080034
10961081	199474	980134	10013959	7955525
7928266	174391	933608	8848380	9944289
10025113	330883	545135	8320023	9323746
9054995	297164	1496404	10791133	9700419
9937351	233149	12971814	8853938	7273402
9054038	230781	6928035	9060616	29013379
8916677	207091	10446821	8985677	624161
10009369	220435	8630335	9373599	13130334
9228784	226276	9913982	8745289	8117215
8958630	159907	9065242	8859298	10523673
9196383	215077	8240958	6980002	8355055
10089491	462147	10664589	13043159	12169760
2651196	155881	8007765	8843249	8735336
111863	216664	10360632	8158143	9031007
2816171	312991	9655129	11002499	11036436
6010898	213233	8991931	6069389	8908799
527330	224882	9163184	26813921	10029177
643933	251130	9074083	1998277	10291039
